firsturl,date,chjh,mzelst
http://t.co/AHsS5bN5Tr,"September 22, 2015 at 08:26AM",1,1
http://t.co/cpUB1Wvmm0,"September 07, 2015 at 11:08AM",1,1
https://t.co/cHbZ8r1En8,"November 29, 2015 at 01:31PM",1,1
https://t.co/EBJ2yFpd9z,"October 27, 2015 at 11:14AM",1,1
https://t.co/EBJ2yFpd9z,"November 24, 2015 at 03:51PM",1,1
https://t.co/HcF4pBVFum,"October 27, 2015 at 11:12AM",0,1
https://t.co/kxTt8uzhHz,"December 07, 2015 at 08:23PM",1,1
https://t.co/PzGUT2Sewb,"November 18, 2015 at 11:39AM",1,1
https://t.co/Q5iXiZRiht,"November 03, 2015 at 12:21PM",1,1
https://t.co/YVEXSHi0TE,"November 23, 2015 at 04:18AM",1,1
https://t.co/z2temnWp3a,"November 03, 2015 at 12:15PM",1,1
NA,"October 22, 2015 at 03:14PM",1,1
NA,"November 14, 2015 at 07:22PM",1,1
https://t.co/bfcj8WJHj9,"November 23, 2015 at 08:17PM",1,1
http://t.co/zskgBya5Nv,"September 23, 2015 at 03:27AM",1,1
NA,"October 19, 2015 at 03:55PM",1,1
http://t.co/mD2Wx8n91p,"September 15, 2015 at 03:08AM",1,1
NA,"September 14, 2015 at 09:28PM",1,1
NA,"September 23, 2015 at 10:49PM",1,1
NA,"October 23, 2015 at 03:45PM",1,1
NA,"September 14, 2015 at 05:24PM",1,1
https://t.co/4qBkR0HQus,"November 04, 2015 at 11:01PM",1,1
